State,industry,population2020,total unemp,unemp rate,population2019,Density,Total Cases,Total Deaths,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020
Washington,0.4643 ,6099782,389799,10,6015120,117.3273,105557 ,2359 ,8.6,2.8,5.4,2.9,-2.6,-25.5
West Virginia,0.6467 ,1439649,80042,10.5,1447295,73.9691,23466 ,443 ,-2.1,-0.3,0.1,-4.9,-6.7,-29.6
Wisconsin,0.5744 ,4655061,264632,8.6,4631145,108.0496,226705 ,2003 ,2,0.8,0.2,2.9,-8.8,-32.6
Wyoming,0.5183 ,451853,22452,7.6,449661,5.84,12507 ,87 ,2.8,-1.4,4.2,-0.2,-10.5,-32.5
Canada,0.5628 ,,,12.3,,3,237313 ,10187 ,,,,,,-13.01167408
France,0.5102 ,,,6.6,,100,1377347 ,36605 ,,,,,,-18.88612446
Germany,0.5814 ,,,4.3,,235,517736 ,10391 ,,,,,,-11.240518
Italy,0.5346 ,,,9.4,,197,647674 ,38321 ,,,,,,-17.94943
Japan,0.5758 ,,,2.8,,339,101353 ,1771 ,,,,,,-10.1004532
the United Kingdom,0.5188 ,,,3.9,,650,992874 ,46319 ,,,,,,-19.8
China,0.6114 ,,,3.84,,142,91366 ,4739 ,,,,,,3.1598648
